SKU,Nama Barang,BERAT (GR),BERAT (KG),Barcode Number,UPC / Barcode Product,MANUAL DATA VALIDATION,SKU GPU,KATEGORI,raw_name,clean_name,aug_variants,augmented_text,aug_variants_str
101415, Ribeye Prime Aus Steak 180 gr,180,0.18,1014150018,1014150018.0,1014150018 -  Ribeye Prime Aus Steak 180 gr,101415,Daging Premium, Ribeye Prime Aus Steak 180 gr,us s,"['us s', 'us s untuk masakan indonesia', 'us s cocok untuk panggang untuk masakan indonesia', 'us s menu rumahan', 'us s cocok untuk panggang', 'us s cocok untuk grill']",us s . us s untuk masakan indonesia . us s cocok untuk panggang untuk masakan indonesia . us s menu rumahan . us s cocok untuk panggang . us s cocok untuk grill,us s|us s untuk masakan indonesia|us s cocok untuk panggang untuk masakan indonesia|us s menu rumahan|us s cocok untuk panggang|us s cocok untuk grill
101061, Ribeye Prime Aus Steak 200 gr,200,0.2,1010610020,1010610100.0,1010610020 -  Ribeye Prime Aus Steak 200 gr,101061,Daging Premium, Ribeye Prime Aus Steak 200 gr,us s,"['us s', 'us s cocok untuk panggang untuk masakan indonesia', 'us s cocok untuk tumis untuk masakan indonesia', 'us s untuk masakan indonesia', 'us s menu rumahan', 'us s cocok untuk panggang']",us s . us s cocok untuk panggang untuk masakan indonesia . us s cocok untuk tumis untuk masakan indonesia . us s untuk masakan indonesia . us s menu rumahan . us s cocok untuk panggang,us s|us s cocok untuk panggang untuk masakan indonesia|us s cocok untuk tumis untuk masakan indonesia|us s untuk masakan indonesia|us s menu rumahan|us s cocok untuk panggang
101063, Ribeye Prime Aus Steak 250 gr,250,0.25,1010630025,1010630100.0,1010630025 -  Ribeye Prime Aus Steak 250 gr,101063,Daging Premium, Ribeye Prime Aus Steak 250 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s untuk masakan indonesia', 'us s cocok untuk panggang untuk masakan indonesia', 'us s cocok untuk grill', 'us s ideal untuk steak']",us s . us s cocok untuk tumis . us s untuk masakan indonesia . us s cocok untuk panggang untuk masakan indonesia . us s cocok untuk grill . us s ideal untuk steak,us s|us s cocok untuk tumis|us s untuk masakan indonesia|us s cocok untuk panggang untuk masakan indonesia|us s cocok untuk grill|us s ideal untuk steak
101207, Ribeye Prime Aus Steak 350 gr,350,0.35,1012070035,1012070035.0,1012070035 -  Ribeye Prime Aus Steak 350 gr,101207,Daging Premium, Ribeye Prime Aus Steak 350 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s untuk masakan indonesia', 'us s menu rumahan untuk masakan indonesia', 'us s cocok untuk panggang', 'us s cocok untuk grill']",us s . us s cocok untuk tumis . us s untuk masakan indonesia . us s menu rumahan untuk masakan indonesia . us s cocok untuk panggang . us s cocok untuk grill,us s|us s cocok untuk tumis|us s untuk masakan indonesia|us s menu rumahan untuk masakan indonesia|us s cocok untuk panggang|us s cocok untuk grill
101062, Ribeye Prime Aus Steak 400 gr,400,0.4,1010620040,1010620100.0,1010620040 -  Ribeye Prime Aus Steak 400 gr,101062,Daging Premium, Ribeye Prime Aus Steak 400 gr,us s,"['us s', 'us s untuk masakan indonesia', 'us s menu rumahan', 'us s masakan nusantara', 'us s cocok untuk grill', 'us s ideal untuk steak']",us s . us s untuk masakan indonesia . us s menu rumahan . us s masakan nusantara . us s cocok untuk grill . us s ideal untuk steak,us s|us s untuk masakan indonesia|us s menu rumahan|us s masakan nusantara|us s cocok untuk grill|us s ideal untuk steak
101421, Ribeye Prime Aus Steak Da14 180 gr,180,0.18,1014210018,1014210018.0,1014210018 -  Ribeye Prime Aus Steak Da14 180 gr,101421,Daging Premium, Ribeye Prime Aus Steak Da14 180 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s untuk masakan indonesia', 'us s menu rumahan', 'us s masakan nusantara', 'us s cocok untuk grill']",us s . us s cocok untuk tumis . us s untuk masakan indonesia . us s menu rumahan . us s masakan nusantara . us s cocok untuk grill,us s|us s cocok untuk tumis|us s untuk masakan indonesia|us s menu rumahan|us s masakan nusantara|us s cocok untuk grill
101240, Ribeye Prime Aus Steak Da14 200 gr,200,0.2,1012400020,1012400020.0,1012400020 -  Ribeye Prime Aus Steak Da14 200 gr,101240,Daging Premium, Ribeye Prime Aus Steak Da14 200 gr,us s,"['us s', 'us s untuk masakan indonesia', 'us s cocok untuk grill untuk masakan indonesia', 'us s cocok untuk panggang', 'us s cocok untuk grill', 'us s ideal untuk steak']",us s . us s untuk masakan indonesia . us s cocok untuk grill untuk masakan indonesia . us s cocok untuk panggang . us s cocok untuk grill . us s ideal untuk steak,us s|us s untuk masakan indonesia|us s cocok untuk grill untuk masakan indonesia|us s cocok untuk panggang|us s cocok untuk grill|us s ideal untuk steak
101241, Ribeye Prime Aus Steak Da14 250 gr,250,0.25,1012410025,1012410025.0,1012410025 -  Ribeye Prime Aus Steak Da14 250 gr,101241,Daging Premium, Ribeye Prime Aus Steak Da14 250 gr,us s,"['us s', 'us s cocok untuk tumis', 'us s menu rumahan', 'us s cocok untuk panggang', 'us s cocok untuk grill', 'us s ideal untuk steak']",us s . us s cocok untuk tumis . us s menu rumahan . us s cocok untuk panggang . us s cocok untuk grill . us s ideal untuk steak,us s|us s cocok untuk tumis|us s menu rumahan|us s cocok untuk panggang|us s cocok untuk grill|us s ideal untuk steak
101270, Ribeye Prime Aus Steak End Cut 200 gr,200,0.2,1012700020,1012700020.0,1012700020 -  Ribeye Prime Aus Steak End Cut 200 gr,101270,Daging Premium, Ribeye Prime Aus Steak End Cut 200 gr,us s u,"['us s u untuk masakan indonesia', 'us s u cocok untuk tumis', 'us s u cocok untuk grill', 'us s u menu rumahan', 'us s u', 'us s u cocok untuk grill untuk masakan indonesia']",us s u untuk masakan indonesia . us s u cocok untuk tumis . us s u cocok untuk grill . us s u menu rumahan . us s u . us s u cocok untuk grill untuk masakan indonesia,us s u untuk masakan indonesia|us s u cocok untuk tumis|us s u cocok untuk grill|us s u menu rumahan|us s u|us s u cocok untuk grill untuk masakan indonesia
101271, Ribeye Prime Aus Steak End Cut 250 gr,250,0.25,1012710025,1012710025.0,1012710025 -  Ribeye Prime Aus Steak End Cut 250 gr,101271,Daging Premium, Ribeye Prime Aus Steak End Cut 250 gr,us s u,"['us s u ideal untuk steak untuk masakan indonesia', 'us s u untuk masakan indonesia', 'us s u cocok untuk panggang untuk masakan indonesia', 'us s u ideal untuk steak', 'us s u menu rumahan', 'us s u']",us s u ideal untuk steak untuk masakan indonesia . us s u untuk masakan indonesia . us s u cocok untuk panggang untuk masakan indonesia . us s u ideal untuk steak . us s u menu rumahan . us s u,us s u ideal untuk steak untuk masakan indonesia|us s u untuk masakan indonesia|us s u cocok untuk panggang untuk masakan indonesia|us s u ideal untuk steak|us s u menu rumahan|us s u
