SKU,Nama Barang,SKU GPU
101449, Ribeye US Choice Steak End Cut 180 gr,101449
100735, Ribeye US Choice Steak End Cut 200 gr,100735
101249, Ribeye US Choice Steak End Cut 230 gr,101249
101226, Ribeye US Choice Steak End Cut 250 gr,101226
101227, Ribeye US Choice Steak End Cut 270 gr,101227
101248, Ribeye US Choice Steak End Cut 290 gr,101248
101444, Ribeye US Choice Steak End Cut Da21 150 gr,101444
101443, Ribeye US Choice Steak End Cut Da21 270 gr,101443
101013, Ribeye US Prime Steak 200 gr,101013
101014, Ribeye US Prime Steak 230 gr,101014
101015, Ribeye US Prime Steak 250 gr,101015
101016, Ribeye US Prime Steak 280 gr,101016
101017, Ribeye US Prime Steak 300 gr,101017
101018, Ribeye US Prime Steak 340 gr,101018
101019, CST Daging Rendang Potong OSV 250 gr,101019
100652, Ribeye Wagyu Mb6+ 200gr,100652
100653, Ribeye Wagyu Mb6+ 230gr,100653
100654, Ribeye Wagyu Mb6+ 250gr,100654
100655, Ribeye Wagyu Mb6+ 270gr,100655
100656, Ribeye Wagyu Mb6+ 290gr,100656
100551, Saikoro Meltique Beef 1000 gr,100551
100549, Saikoro Meltique Beef 250 gr,100549
100550, Saikoro Meltique Beef 500 gr,100550
101108, Saikoro Wagyu A5 200gr,101108
101386, Seafood Lovers Udang Kupas Premium 400 gr,101386
101129, Topside Steak Wagyu MB 8-9 150 gr,101129
101130, Topside Steak Wagyu MB 8-9 180 gr,101130
101126, Topside Steak Wagyu MB 8-9 200 gr,101126
101131, Topside Steak Wagyu MB 8-9 230 gr,101131
101132, Topside Steak Wagyu MB 8-9 250 gr,101132
102219, Topside Steak Wagyu MB 6-7 150 gr,102219
102220, Topside Steak Wagyu MB 6-7 180 gr,102220
101134, Topside Steak Wagyu MB 6-7 200 gr,101134
101338,[FREE GOODS] P Mamasuka Rumput Laut Panggang Ghost Pepper Bundle 2x4.5 gr,101338
101339,[FREE GOODS] P Mamasuka Rumput Laut Panggang Jagung Bakar Bundle 2x4.5 gr,101339
100658, Serbuk Dmm 1000 gr,100658
101352, Shitake Mushroom Slice 500gr,101352
100212, Short Rib Besar 1000 gr,100212
100841, Short Rib Besar 500 gr,100841
101509, Short Rib Galbi Us Choice 250 gr,101509
100719, Short Rib Galbi Us Choice 500 gr,100719
100708, Short Rib Kecil 1000 gr,100708
100842, Short Rib Kecil 500 gr,100842
101234, Sirloin AUS Steak DA14 170 gr,101234
101235, Sirloin AUS Steak DA14 200 gr,101235
101236, Sirloin AUS Steak DA14 250 gr,101236
101254, Sirloin AUS Steak DA14 300 gr,101254
100605, Sirloin Hokubee 1000 gr,100605
100753, Sirloin Hokubee 200 gr,100753
100602, Sirloin Hokubee 400 gr,100602
100557, Sirloin Meltique Steak 1000 gr,100557
100555, Sirloin Meltique Steak 200 gr,100555
100556, Sirloin Meltique Steak 400 gr,100556
100419, Sirloin Regular 500 gr,100419
101507, Sirloin Steak AUS 150 gr,101507
101342, Sirloin Steak AUS 180 gr,101342
100985, Sirloin Steak AUS 200 gr,100985
101343, Sirloin Steak AUS 230 gr,101343
101093, Sirloin Steak AUS 250 gr,101093
100984, Sirloin Steak AUS 400 gr,100984
100016, Sirloin Steak AUS 500 gr,100016
101372, Sirloin Steak AUS End Cut 160 gr,101372
101373, Sirloin Steak AUS End Cut 180 gr,101373
101374, Sirloin Steak AUS End Cut 200 gr,101374
101397, Sirloin Steak AUS End Cut 250 gr,101397
101078, Sirloin US Choice Steak 200 gr,101078
100998, Sirloin US Choice Steak 220 gr,100998
100999, Sirloin US Choice Steak 250 gr,100999
101000, Sirloin US Choice Steak 280 gr,101000
101001, Sirloin US Choice Steak 310 gr,101001
101229, Sirloin US Choice Steak End Cut 170 gr,101229
101246, Sirloin US Choice Steak End Cut 200 gr,101246
101230, Sirloin US Choice Steak End Cut 250 gr,101230
101247, Sirloin US Choice Steak End Cut 280 gr,101247
100823, Suki Rib Cap 500gr,100823
100896, Slice AUS Shortplate 250 gr,100896
100706, Slice AUS Shortplate 500 gr,100706
100687, Slice Brisket 500 gr,100687
100860, Slice Chuck Crest 500gr,100860
100675, Slice Ekonomis Less Fat 500 gr,100675
100836, Slice Ekonomis Fatty 500 gr,100836
100217, Slice Less Fat 250 gr,100217
100580, Slice Less Fat 500 gr,100580
101252, Slice Shabu Less Fat 500 gr,101252
100612, Slice Sirloin 500gr,100612
100926, Slice Tenderloin 250gr,100926
100924, Slice US Prime 250 gr,100924
100790, Slice US Shortplate 250 gr,100790
100545, Slice US Shortplate 500 gr,100545
101004, Sumsum Bone Marrow 250 gr,101004
101005, Sumsum Bone Marrow 300 gr,101005
101006, Sumsum Bone Marrow 350 gr,101006
101007, Sumsum Bone Marrow 400 gr,101007
101011, Sumsum Bone Marrow Pcs 500gr,101011
100608, Tenderloin Meltique 1000 gr,100608
100832, Tenderloin Meltique 200 gr,100832
100607, Tenderloin Meltique 400 gr,100607
100963, Tenderloin Regular 250 gr,100963
100437, Tenderloin Regular 500 gr,100437
101494, Tenderloin Steak AUS 150 gr,101494
101495, Tenderloin Steak AUS 180 gr,101495
100987, Tenderloin Steak AUS 200 gr,100987
100986, Tenderloin Steak AUS 400 gr,100986
100017, Tenderloin Steak AUS 500 gr,100017
101496, Tenderloin Steak AUS Fillet Mignon 130 gr,101496
101497, Tenderloin Steak AUS Fillet Mignon 150 gr,101497
100564, Trimming Slice 250 gr,100564
100214, Tulang Sop 1000 gr,100214
100918, Tulang Sop 500 gr,100918
101009, Udang Vaname Tail Off 51/60 500gr,101009
100749, Udang Vaname Tail On 71/90 1000gr,100749
100750, Udang Vaname Tail On 71/90 500gr,100750
100683, Urat Mayang 1000 gr,100683
100955, Urat Mayang 500 gr,100955
100921, US Prime Secondary Steak 200gr,100921
100922, US Prime Secondary Steak 400gr,100922
100923, US Prime Secondary Steak End Cut 200gr,100923
101035, US Prime Secondary Steak End Cut 400gr,101035
101012, Yakiniku Wagyu A5 200 gr,101012
